1 (ML): CIA E2 MWT 65 (10, H2Hn)
387 (S): PCE A3 LFA B2 (5, H2Nn)
388 (S): LFA B2 PCE A3 (5, H2Nn)
389 (S): PCE A2 KWT 10 (5, H2Nn)
390 (S): KWT 10 PCE A2 (5, H2Nn)
391 (S): PCE A2 JDL B13 (4, H2Nn)
392 (S): JDL B13 PCE A2 (4, H2Nn)
393 (S): PCE A2 IAS A5 (4, H2Nn)
394 (S): IAS A5 PCE A2 (4, H2Nn)
395 (S): PCE A2 HND 106 (5, H2Nn)
396 (S): HND 106 PCE A2 (5, H2Nn)
397 (S): PCE A2 GSM 7 (5, H2Nn)
398 (S): GSM 7 PCE A2 (5, H2Nn)
399 (S): PCE A1 ANA 20 (5, H2Nn)
400 (S): ANA 20 PCE A1 (5, H2Nn)
401 (S): PCE A1 CBX ? (5, H2Nn)
402 (S): CBX ? PCE A1 (5, H2Nn)
403 (S): PCE A1 FCE 3 (5, H2Nn)
404 (S): FCE 3 PCE A1 (5, H2Nn)
405 (S): PCE A1 EBI E3 (5, H2Nn)
406 (S): EBI E3 PCE A1 (5, H2Nn)
407 (S): PCE A1 DHA 14 (5, H2Nn)
408 (S): DHA 14 PCE A1 (5, H2Nn)
409 (S): AIX A7 RNN 3 (5, H2Nn)
410 (S): RNN 3 AIX A7 (5, H2Nn)
411 (ML): CIA A1 SSI A9 (0, H2Ne)
412 (ML): SSI A9 CIA A1 (0, H2Ne)
501 (S): MWT 48 OSI A2 (8, H2Nn)
502 (S): OSI A2 MWT 48 (8, H2Nn)
503 (S): MWT 48 CYR C9 (7, H2Nn)
504 (S): CYR C9 MWT 48 (7, H2Nn)
505 (M): MWT 75 TBI 7 (2, H2Ne)
506 (M): TBI 7 MWT 75 (2, H2Ne)
507 (XS): MWT P1 TOU 5 (11, H2Nn)
508 (XS): TOU 5 MWT P1 (11, H2Nn)
509 (S): MWT 8 PRA - (4, H2Nn)
510 (S): PRA - MWT 8 (4, H2Nn)
511 (S): MWT 7 SWH ! (4, H2Nn)
512 (S): SWH ! MWT 7 (4, H2Nn)
513 (S): MWT 8 RNN 3 (3, H2Nn)
514 (S): RNN 3 MWT 8 (3, H2Nn)
515 (S): MWT 47 VEX 3 (4, H2Nn)
516 (S): VEX 3 MWT 47 (4, H2Nn)
517 (S): MWT 47 SVS B1 (3, H2Nn)
518 (S): SVS B1 MWT 47 (3, H2Nn)
519 (S): MWT 47 SSR A5 (3, H2Nn)
520 (S): SSR A5 MWT 47 (3, H2Nn)
521 (S): MWT 47 SIA A3 (2, H2Nn)
522 (S): SIA A3 MWT 47 (2, H2Nn)
523 (S): MWT 46 RSN 4 (5, H2Nn)
524 (S): RSN 4 MWT 46 (5, H2Nn)
525 (S): MWT 46 RED 9 (4, H2Nn)
526 (S): RED 9 MWT 46 (4, H2Nn)
527 (S): MWT 46 PMA 2 (3, H2Nn)
528 (S): PMA 2 MWT 46 (3, H2Nn)
529 (S): MWT 46 NGY B5 (2, H2Nn)
530 (S): NGY B5 MWT 46 (2, H2Nn)
531 (S): MWT 46 MCI 24 (3, H2Nn)
532 (S): MCI 24 MWT 46 (3, H2Nn)
533 (S): MWT 11 LPI 3 (5, H2Nn)
534 (S): LPI 3 MWT 11 (5, H2Nn)
535 (S): MWT 11 LFA B2 (4, H2Nn)
536 (S): LFA B2 MWT 11 (4, H2Nn)
537 (S): MWT 11 HND 106 (3, H2Nn)
538 (S): HND 106 MWT 11 (3, H2Nn)
539 (S): MWT 11 GSM 7 (4, H2Nn)
540 (S): GSM 7 MWT 11 (4, H2Nn)
541 (S): MWT 11 GSA 5 (4, H2Nn)
542 (S): GSA 5 MWT 11 (4, H2Nn)
543 (S): MWT 7 KWT 10 (5, H2Nn)
544 (S): KWT 10 MWT 7 (5, H2Nn)
547 (S): MWT 10 DHA 14 (5, H2Nn)
548 (S): DHA 14 MWT 10 (5, H2Nn)
549 (S): MWT 10 CWB 6 (5, H2Nn)
550 (S): CWB 6 MWT 10 (5, H2Nn)
551 (S): MWT 10 CAL B4 (4, H2Nn)
552 (S): CAL B4 MWT 10 (4, H2Nn)
553 (S): MWT 9 AXB 3 (5, H2Nn)
554 (S): AXB 3 MWT 9 (5, H2Nn)
555 (S): MWT 9 ARD 3 (4, H2Nn)
556 (S): ARD 3 MWT 9 (4, H2Nn)
557 (S): MWT 9 AMA 13 (3, H2Nn)
558 (S): AMA 13 MWT 9 (3, H2Nn)
559 (S): MWT 9 AIS 5 (4, H2Nn)
560 (S): AIS 5 MWT 9 (4, H2Nn)
561 (S): MWT 9 EMI →9 (25, H2Nn)
562 (S): EMI →9 MWT 9 (25, H2Nn)
563 (ML): MWT 65 FYI A7 (2, H2Ne)
564 (ML): FYI A7 MWT 65 (2, H2Ne)
565 (ML): MWT 65 CWI 8 (2, H2Ne)
566 (ML): CWI 8 MWT 65 (2, H2Ne)
567 (M): MWT 75 CHB 32 (1, H2Ne)
568 (M): CHB 32 MWT 75 (1, H2Ne)
569 (M): MWT 75 SSI B2 (1, H2Ne)
570 (M): SSI B2 MWT 75 (1, H2Ne)
571 (XS): MWT P1 KZH 1 (7, H2Nn)
572 (XS): KZH 1 MWT P1 (7, H2Nn)
573 (S): MWT 8 DCA 6 (5, H2Nn)
574 (S): DCA 6 MWT 8 (5, H2Nn)
575 (S): MWT 8 GOD A12 (19, H2Ne)
576 (S): GOD A12 MWT 8 (19, H2Ne)
577 (XS): MWT P1 KEK 101 (6, H2Nn)
578 (XS): KEK 101 MWT P1 (6, H2Nn)
579 (S): MWT 47 WCC 3 (25, H2Nn)
580 (S): WCC 3 MWT 47 (25, H2Nn)
581 (XS): MWT P1 SHI T2-3 (1, H2Ne)
582 (XS): SHI T2-3 MWT P1 (1, H2Ne)
583 (XS): MWT P1 HKA P3 (8, H2Nn)
584 (XS): HKA P3 MWT P1 (8, H2Nn)
585 (S): MWT 7 AFK B15 (5, H2Nn)
586 (S): AFK B15 MWT 7 (5, H2Nn)
587 (S): MWT 8 ELF 9 (5, H2Nn)
588 (S): ELF 9 MWT 8 (5, H2Nn)
589 (ML): MWT 65 MLH D4 (1, H2Ne)
590 (ML): MLH D4 MWT 65 (1, H2Ne)
591 (S): MWT 7 RMA ? (4, H2Nn)
592 (S): RMA ? MWT 7 (4, H2Nn)
701 (S): LAR X18 CYR C9 (8, H2Nn)
702 (S): CYR C9 LAR X18 (8, H2Nn)
703 (S): LAR X18 REF A6 (4, H2Nn)
704 (S): REF A6 LAR X18 (4, H2Nn)
705 (S): LAR X18 HND 105 (5, H2Nn)
706 (S): HND 105 LAR X18 (5, H2Nn)
707 (S): LAR X18 DCA 6 (4, H2Nn)
708 (S): DCA 6 LAR X18 (4, H2Nn)
709 (S): LAR X18 FWC B6 (3, H2Nn)
710 (S): FWC B6 LAR X18 (3, H2Nn)
711 (S): LAR X1 ZRZ A2 (5, H2Nn)
712 (S): ZRZ A2 LAR X1 (5, H2Nn)
713 (S): LAR X1 YNB B2 (4, H2Nn)
714 (S): YNB B2 LAR X1 (4, H2Nn)
715 (S): LAR X1 VEX 3 (3, H2Nn)
716 (S): VEX 3 LAR X1 (3, H2Nn)
717 (S): LAR X1 TBI S4 (3, H2Nn)
718 (S): TBI S4 LAR X1 (3, H2Nn)
719 (S): LAR X1 SVS A3 (5, H2Nn)
720 (S): SVS A3 LAR X1 (5, H2Nn)
721 (S): LAR A25 SSR A5 (5, H2Nn)
722 (S): SSR A5 LAR A25 (5, H2Nn)
723 (S): LAR A25 SND 3 (4, H2Nn)
724 (S): SND 3 LAR A25 (4, H2Nn)
725 (S): LAR A25 SAN C5 (4, H2Nn)
726 (S): SAN C5 LAR A25 (4, H2Nn)
727 (S): LAR A25 RVC A5 (3, H2Nn)
728 (S): RVC A5 LAR A25 (3, H2Nn)
729 (S): LAR A25 RED 9 (2, H2Nn)
730 (S): RED 9 LAR A25 (2, H2Nn)
731 (S): LAR A24 PIA A6 (5, H2Nn)
732 (S): PIA A6 LAR A24 (5, H2Nn)
733 (S): LAR A24 OCD 8 (4, H2Nn)
734 (S): OCD 8 LAR A24 (4, H2Nn)
735 (S): LAR A24 NPS 1 (3, H2Nn)
736 (S): NPS 1 LAR A24 (3, H2Nn)
737 (S): LAR A24 NIB 6 (3, H2Nn)
738 (S): NIB 6 LAR A24 (3, H2Nn)
739 (S): LAR A24 MWK 6 (3, H2Nn)
740 (S): MWK 6 LAR A24 (3, H2Nn)
741 (S): LAR A23 MPI A14 (5, H2Nn)
742 (S): MPI A14 LAR A23 (5, H2Nn)
743 (S): LAR A23 LPI 3 (4, H2Nn)
744 (S): LPI 3 LAR A23 (4, H2Nn)
745 (S): LAR A23 JDL B13 (3, H2Nn)
746 (S): JDL B13 LAR A23 (3, H2Nn)
747 (S): LAR A23 IAS A5 (3, H2Nn)
748 (S): IAS A5 LAR A23 (3, H2Nn)
749 (S): LAR A23 HGW 3 (4, H2Nn)
750 (S): HGW 3 LAR A23 (4, H2Nn)
751 (S): LAR A22 GSA 5 (5, H2Nn)
752 (S): GSA 5 LAR A22 (5, H2Nn)
753 (S): LAR A22 GLA B5 (4, H2Nn)
754 (S): GLA B5 LAR A22 (4, H2Nn)
755 (S): LAR A22 GEP S5 (5, H2Nn)
756 (S): GEP S5 LAR A22 (5, H2Nn)
757 (S): LAR A22 FCE 3 (4, H2Nn)
758 (S): FCE 3 LAR A22 (4, H2Nn)
759 (S): LAR A22 CWB 6 (4, H2Nn)
760 (S): CWB 6 LAR A22 (4, H2Nn)
901 (S): SEG D30 MFM 4 (5, H2Nn)
902 (S): MFM 4 SEG D30 (5, H2Nn)
903 (S): SEG D30 RAA B8 (8, H2Nn)
904 (S): RAA B8 SEG D30 (8, H2Nn)
905 (S): SEG D30 OSI A2 (7, H2Nn)
906 (S): OSI A2 SEG D30 (7, H2Nn)
907 (S): SEG D30 CYR C9 (8, H2Nn)
908 (S): CYR C9 SEG D30 (8, H2Nn)
909 (S): SEG D29 COA 1 (5, H2Nn)
910 (S): COA 1 SEG D29 (5, H2Nn)
911 (S): SEG D29 MWL 15 (4, H2Nn)
912 (S): MWL 15 SEG D29 (4, H2Nn)
913 (S): SEG D29 TBI S4 (4, H2Nn)
914 (S): TBI S4 SEG D29 (4, H2Nn)
915 (S): SEG D28 SVS B1 (5, H2Nn)
916 (S): SVS B1 SEG D28 (5, H2Nn)
917 (S): SEG D28 SSR A5 (5, H2Nn)
918 (S): SSR A5 SEG D28 (5, H2Nn)
919 (S): SEG D28 SND 3 (4, H2Nn)
920 (S): SND 3 SEG D28 (4, H2Nn)
921 (S): SEG D28 SIA A3 (4, H2Nn)
922 (S): SIA A3 SEG D28 (4, H2Nn)
923 (S): SEG D27 PFR 6 (5, H2Nn)
924 (S): PFR 6 SEG D27 (5, H2Nn)
925 (S): SEG D27 RSN 4 (5, H2Nn)
926 (S): RSN 4 SEG D27 (5, H2Nn)
927 (S): SEG D27 PMA 2 (4, H2Nn)
928 (S): PMA 2 SEG D27 (4, H2Nn)
929 (S): SEG D29 CBX ? (4, H2Nn)
930 (S): CBX ? SEG D29 (4, H2Nn)
931 (S): SEG D27 OCD 8 (4, H2Nn)
932 (S): OCD 8 SEG D27 (4, H2Nn)
933 (S): SEG D27 NPS 1 (4, H2Nn)
934 (S): NPS 1 SEG D27 (4, H2Nn)
935 (S): SEG D26 NIB 6 (5, H2Nn)
936 (S): NIB 6 SEG D26 (5, H2Nn)
937 (S): SEG D26 NGY B5 (4, H2Nn)
938 (S): NGY B5 SEG D26 (4, H2Nn)
939 (S): SEG D26 MPI A14 (5, H2Nn)
940 (S): MPI A14 SEG D26 (5, H2Nn)
941 (S): SEG D26 MBA 1 (4, H2Nn)
942 (S): MBA 1 SEG D26 (4, H2Nn)
943 (S): SEG D26 LPI 3 (5, H2Nn)
944 (S): LPI 3 SEG D26 (5, H2Nn)
945 (S): SEG D25 JDL B13 (5, H2Nn)
946 (S): JDL B13 SEG D25 (5, H2Nn)
947 (S): SEG D25 IAS A5 (5, H2Nn)
948 (S): IAS A5 SEG D25 (5, H2Nn)
949 (S): SEG D25 GSA 5 (5, H2Nn)
950 (S): GSA 5 SEG D25 (5, H2Nn)
951 (S): SEG D25 GLA B5 (5, H2Nn)
952 (S): GLA B5 SEG D25 (5, H2Nn)
953 (S): SEG D25 ZRZ A2 (5, H2Nn)
954 (S): ZRZ A2 SEG D25 (5, H2Nn)
1101 (S): VDA 34 KWT 10 (5, H2Nn)
1102 (S): KWT 10 VDA 34 (5, H2Nn)
1103 (S): VDA 34 RAA B8 (8, H2Nn)
1104 (S): RAA B8 VDA 34 (8, H2Nn)
1105 (S): VDA 34 OSI A2 (8, H2Nn)
1106 (S): OSI A2 VDA 34 (8, H2Nn)
1107 (S): VDA 34 NPR B2 (5, H2He)
1108 (S): NPR B2 VDA 34 (5, H2He)
1109 (S): VDA 33 MWL 15 (5, H2Nn)
1110 (S): MWL 15 VDA 33 (5, H2Nn)
1111 (S): VDA 33 LNT B10 (5, H2Nn)
1112 (S): LNT B10 VDA 33 (5, H2Nn)
1113 (S): VDA 33 SDZ E3 (5, H2Nn)
1114 (S): SDZ E3 VDA 33 (5, H2Nn)
1115 (S): VDA 33 FWC B6 (5, H2Nn)
1116 (S): FWC B6 VDA 33 (5, H2Nn)
1117 (S): VDA 32 YST 10 (5, H2Nn)
1118 (S): YST 10 VDA 32 (5, H2Nn)
1119 (S): VDA 32 WMA C8 (5, H2Nn)
1120 (S): WMA C8 VDA 32 (5, H2Nn)
1121 (S): VDA 32 WHT E1C (5, H2Nn)
1122 (S): WHT E1C VDA 32 (5, H2Nn)
1123 (S): VDA 32 TSN 1 (5, H2Nn)
1124 (S): TSN 1 VDA 32 (5, H2Nn)
1125 (S): VDA 34 TBI S4 (5, H2Nn)
1126 (S): TBI S4 VDA 34 (5, H2Nn)
